id,title,company,location,salary_min,salary_max,posted_date,avg_salary,is_remote,industry,experience_level,job_type,remote_allowed,city,state,country,key_skills
job_20260419_0,Cloud Architect,AI Innovations,"Toronto, ON, Canada",97406,117876,2026-03-21,107641.0,1,Finance,Mid Level,Part-Time,Yes,Toronto,ON,Canada,"Terraform, Azure, AWS"
job_20260419_1,Analytics Engineer,CloudNet,"Toronto, ON, Canada",65502,106850,2026-04-04,86176.0,0,Energy,Mid Level,Part-Time,No,Toronto,ON,Canada,"Power BI, Looker, Kubernetes"
job_20260419_2,Cloud Architect,HealthPlus,"Chicago, IL, USA",120109,158251,2026-04-18,139180.0,0,Technology,Entry Level,Contract,No,Chicago,IL,USA,"Terraform, CI/CD, AWS"
job_20260419_3,Machine Learning Engineer,AI Innovations,"Austin, TX, USA",127330,173015,2026-04-03,150172.5,1,Healthcare,Entry Level,Full-Time,Yes,Austin,TX,USA,"Docker, Airflow, AWS"
job_20260419_4,Cloud Architect,FinTech Solutions,"Sydney, NSW, Australia",155773,204305,2026-04-17,180039.0,0,Energy,Senior,Full-Time,No,Sydney,NSW,Australia,"AWS, Azure, CI/CD"
job_20260419_5,Cloud Architect,HealthPlus,"Munich, BY, Germany",79334,107353,2026-04-17,93343.5,1,Retail,Entry Level,Full-Time,Yes,Munich,BY,Germany,"AWS, Azure, CI/CD"
job_20260419_6,DevOps Engineer,TechCorp,"Berlin, BE, Germany",149693,193864,2026-04-12,171778.5,1,Technology,Senior,Full-Time,Yes,Berlin,BE,Germany,"Docker, Airflow, AWS"
job_20260419_7,Data Engineer,GlobalBank,"Remote, Remote, Remote",163652,207978,2026-03-25,185815.0,1,Retail,Executive,Full-Time,Yes,Remote,Remote,Worldwide,"Snowflake, Airflow, Tableau"
job_20260419_8,Cloud Architect,GlobalBank,"Toronto, ON, Canada",84086,128707,2026-04-06,106396.5,0,Finance,Mid Level,Contract,No,Toronto,ON,Canada,"Terraform, Azure, CI/CD"
job_20260419_9,Machine Learning Engineer,CloudNet,"Toronto, ON, Canada",141285,191077,2026-04-05,166181.0,0,Retail,Mid Level,Contract,No,Toronto,ON,Canada,"Docker, Kubernetes, AWS"
job_20260419_10,Cloud Architect,AI Innovations,"Manchester, ENG, UK",95001,132423,2026-03-20,113712.0,1,Energy,Mid Level,Full-Time,Yes,Manchester,ENG,UK,"Terraform, AWS, CI/CD"
job_20260419_11,Cloud Architect,TechCorp,"Austin, TX, USA",195446,236742,2026-04-17,216094.0,0,Energy,Executive,Contract,No,Austin,TX,USA,"Terraform, CI/CD, AWS"
job_20260419_12,Data Scientist,FinTech Solutions,"Munich, BY, Germany",146051,166575,2026-03-23,156313.0,1,Technology,Mid Level,Part-Time,Yes,Munich,BY,Germany,"Machine Learning, Databricks, SQL"
